課,Khoá niên khoá; KA
晴,Tình trời nắng SEI
丈,Trượng trượng phu JOU
夫,Phu chồng FU; FUU
暖,Noãn ấm DAN
接,Tiếp tiếp xúc SETSU
輸,Thâu nhập khẩu YU
放,Phóng giải phóng HOU
抜,Bạt rút ra BATSU
詰,Cật vặn hỏi KITSU
論,Luận thảo luận RON
栓,Xuyên then chốt SEN
適,Thích thích hợp; TEKI
査,Tra kiểm tra SA
供,Cung cung cấp KYOU; KU
局,cục cục bộ KYOKU
寺,Tự Chùa JI
玉,Ngọc ngọc bảo GYOKU
寧,Ninh lịch thiệp NEI
玩,#N/A
舞,Vũnhảy; khiêu vũBU
猿,Viên con khỉ EN
餌,#N/A
興,Hưng hưng thịnh KOU; KYOU
情,Tình tình cảm JOU; SEI
丁,Đinh can thứ 4 TEI; CHOU
弾,Đạn viên đạn DAN
語,Ngữ ngôn ngữ GO
件,Kiện sự kiện KEN
爆,Bộc bộc phát BAKU
転,Chuyển di chuyển TEN
招,Chiêu mời; vẫy SHOU
角,Giác góc KAKU
離,Li rời khỏi RI
犯,Phạm tội phạm HAN
季,Quý niên quý KI
節,Tiết tiết kiệm SETSU; SECHI
紅,Hồng màu đỏ KOU; KU
湖,Hồ cái hồ KO
少,Thiểu ít; thiểu số SHOU
護,Hộ hộ vệ; GO
律,Luật luật pháp RITSU; RICHI
横,hoành trục hoành OU
弁,Biện biện luận BEN
飛,Phi bay HI
孫,Tôn cháu SON
亀,#N/A
字,Tự chữ JI
川,Xuyên sông SEN
城,Thành thành lũy JOU
煙,Yên khói EN
声,Thanh âm thanh SEI; SHOU
姫,Cơ công chúa -
陸,Lục châu lục RIKU
前,Tiền phía trước; trước kia ZEN
過,Quá vượt quá; KA
族,Tộc gia tộc ZOKU
姿,Tư tư thế SHI
存,Tồn tồn tại SON; ZON
貿,Mậu mậu dịch BOU
易,Dịch mậu dịch I; EKI
停,Đình dừng lại; TEI
寮,Liêu ký túc xá RYOU
銀,Ngân bạc; GIN
塾,Thục tư thục JUKU
馳,#N/A
泳,vịnh bơi EI
呂,#N/A
脳,Não bộ não NOU
久,Cửu vĩnh cửu KYUU; KU
芸,Nghệ nghệ thuật GEI
徒,Đồ sinh đồ TO
走,Tẩu chạy SOU
厳,Nghiêm nghiêm khắc GEN; GON
戸,Hộ cánh cửa KO
京,Kinh kinh đô KYOU; KEI
江,Giang con sông KOU
絡,Lạc buộc RAKU
週,Chu tuần SHUU
啓,Khải làm sáng tỏ KEI
敬,Kính tôn kính KEI
拝,Bái khấn bái HAI
然,Nhiên tự nhiên; ZEN; NEN
像,Tượng hình tượng ZOU
多,Đa nhiều TA
障,Chướng chướng ngại SHOU
師,Sư thầy giáo SHI
校,Hiệu trường học KOU
講,Giảng cắt nghĩa KOU
皆,Giai mọi người KAI
郊,Giao ngoại ô KOU
私,Tư tư nhân SHI
害,Hại tổn hại GAI
友,Hữu bạn hữu YUU
青,Thanh màu xanh SEI; SHOU
緑,Lục màu xanh lá cây RYOKU; ROKU
黒,Hắc màu đen KOKU
縁,Duyên duyên phận EN
起,khởi khởi dậy KI
保,Bảo bảo đảm HO
証,Chứng chứng minh SHOU
勝,Thắng chiến thắng SHOU
返,Phản trả lại HEN
却,Khước quá khứ KYAKU
汚,Ô ô nhiễm O
量,Lượng số lượng RYOU
濃,Nồng nồng ấm NOU
齢,Linh tuổi REI
直,Trực sửa chữa; trực tiếp CHOKU; JIKI
笥,#N/A
現,Hiện hiện thực; GEN
箪,#N/A
倍,Bội bội số; BAI
涙,Lệ nước mắt RUI
速,Tốc tốc độ SOKU
酷,Khốc khốc liệt KOKU
郵,Bưu bưu cục YUU
暑,Thử nóng SHO
天,Thiên trời TEN
均,Quân bình quân KIN
寿,Thọ tuổi thọ JU
賛,Tán tán thành SAN
医,y y học I
救,Cứu cấp cứu KYUU
聞,Văn/Vấn nghe/hỏi BUN; MON
射,Xạ bắn SHA
悩,Não phiền não NOU
領,Lãnh lãnh đạo RYOU
位,Vị vị trí I
符,Phù phù hiệu FU
蒸,Chưng chưng cất; JOU
秒,Miểu giây BYOU
欲,Dục dục vọng YOKU
識,Thức tri thức SHIKI
績,Tích thành tích SEKI
悲,Bi buồn HI
解,Giải giải quyết; KAI; GE
元,Nguyên nguyên khí GEN; GAN
倉,Thương thương khố SOU
順,Thuận thuận lợi JUN
図,Đồ bản đồ ZU; TO
線,Tuyến tuyến đường SEN
序,Tự thứ tự; JO
蔵,Tàng tàng trữ ZOU
罰,Phạt hình phạt BATSU; BACHI
復,Phục phục hồi FUKU
箱,Tương cái hộp -
案,Án đề án AN
短,Đoản ngắn TAN
資,Tư của cải; SHI
周,Chu chu vi SHUU
篤,Đốc đứng đắn; tận tâm TOKU
労,Lao lao động ROU
点,Điểm điểm số; trọng điểm TEN
達,Đạt hữu đạt TATSU
蓋,#N/A
網,Võng cái lưới MOU
帳,Trướng căng lên; CHOU
種,Chủng chủng loại SHU
向,Hướng hướng về; KOU
財,Tài tiền tài; ZAI; SAI
期,kỳkỳhạn KI; GO
布,Bố vải FU
質,Chất hỏi; SHITSU; SHICHI; CHI
針,Châm cái kim; SHIN
引,Dẫn kéo IN
題,Đề vấn đề DAI
盆,Bồn cái khay BON
紺,Cám xanh sẫm KON
辺,Biên biên giới HEN
矢,Thỉ mũi tên SHI
印,Ấn ấn tượng IN
鏡,Kính gương KYOU
卒,Tốt tốt nghiệp SOTSU
十,Thập số 10 JUU; JI
展,Triển phát triển TEN
敗,Bại thất bại HAI
陽,Dương mặt trời YOU
胃,Vị dạ dày I
働,Động lao động DOU
星,Tinh ngôi sao SEI; SHOU
懸,Huyền treo KEN; KE
園,Viên công viên EN
雨,Vũmưa U
普,Phổ phổ biến FU
泉,Tuyền dòng sông SEN
薬,Dược thuốc YAKU
覧,Lãm triển lãm RAN
功,Công thành công KOU; KU
支,Chi chi nhánh SHI
葬,Táng an táng SOU
終,Chung kết thúc SHUU
憩,Khế nghỉ ngơi KEI
嬉,#N/A
春,Xuân mùa xuân SHUN
張,Trương kéo dài CHOU
頓,#N/A
交,Giao cắt nhau KOU
駐,Trú cư trú CHUU
利,Lợi tiện lợi RI
隅,Ngung góc; xó GUU
兄,Huynh anh trai KEI; KYOU
規,Quy quy tắc KI
恋,Luyến tình yêu;luyến ái REN
姉,Tỷ chị gái SHI
則,Tắc qui tắc SOKU
冬,Đông mùa đông TOU
夏,Hạ mùa hè KA; GE
舎,Xá phố xá SHA
田,Điền ruộng DEN
公,Công công cộng KOU
主,Chủ ông chủ SHU; SU
駄,Đà thồ hàng DA
恥,Sỉ xấu hổ CHI
岸,ngạn bờ biển GAN
冊,Sách quyển sách SATSU; SAKU
判,Phán phán đoán HAN; BAN
源,Nguyên nguyên thủy GEN
製,Chế chế tạo; SEI
将,Tương tương lai SHOU
豪,Hào hào nhoáng GOU
騒,Tào ồn ào SOU
面,Diện mặt MEN
華,Hoa hoa mĩKA; KE
仲,Trọng trung gian CHUU
好,Hảo thích KOU
彫,Điêu điêu khắc CHOU
刻,Khắc điêu khắc; KOKU
双,Song song phương ; đôi SOU
身,Thân bản thân SHIN
昼,Trú buổi trưa CHUU
服,Phục trang phục FUKU
信,Tín tín dụng SHIN
杯,Bôi chén HAI
裏,Lý mặt trái RI
波,Ba con sóng HA
景,Cảnh quang cảnh KEI
二,Nhị số 2 NI
夢,Mộng giấc mơ MU
豆,Đậu hạt đậu TOU; ZU
複,Phức phức tạp FUKU
雑,Tạp tạp chí; ZATSU; ZOU
室,Thất phòng SHITSU
伊,#N/A
途,Đồ đường TO
汗,Hãn mồ hôi KAN
勢,Thế thế lực SEI
土,Thổ đất; thổ nhưỡng DO; TO
給,Cấp cung cấp KYUU
偉,Vĩvĩđại I
歌,Ca hát KA
朱,Chu sắc đỏ SHU
喫,Khiết ăn uống KITSU
付,Phó dính; FU
簡,Giản đơn giản KAN
感,cảm cảm giác KAN
想,Tưởng tưởng tượng SOU; SO
山,Sơn núi SAN
登,Đăng leo lên; TOU; TO
近,Cận gần KIN
屋,ốc cao ốc OKU
許,Hứa cho phép KYO
始,Thủy bắt đầu SHI
願,Nguyện ước nguyện GAN
皿,Mãnh cái đĩa -
設,Thiết thiết lập SETSU
単,Đơn đơn giản TAN
弱,Nhược yếu JAKU
油,Du dầu YU
棒,Bổng cái gậy BOU
麦,Mạch lúa mạch BAKU
鋼,Cương thép KOU
建,Kiến xây dựng; KEN; KON
築,Trúc kiến trúc CHIKU
強,Cường cường lực KYOU; GOU
南,Nam phía nam NAN; NA
軟,Nhuyễn mềm mại NAN
携,Huề đi cùng KEI
絶,Tuyệt cự tuyệt; ZETSU
試,Thí thí sinh; SHI
帯,Đới cái đai; TAI
経,Kinh kinh tế; KEI; KYOU
泥,Nê bùn đất DEI
剣,Kiếm gươm KEN
特,Đặc đặc biệt TOKU
